"teamCode","teamName","ok","officialCount","matchedExisting","created","hiddenUnavailable","safeToApply","note"
"MEX","Mexico","True","26","26","0","25","True","READY"
"RSA","South Africa","True","26","26","0","26","True","READY"
"KOR","South Korea","True","26","24","2","29","True","READY"
"CZE","Czech Republic","True","26","26","0","26","True","READY"
"CAN","Canada","True","26","25","1","26","True","READY"
"BIH","Bosnia and Herzegovina","True","26","26","0","26","True","READY"
"QAT","Qatar","True","26","17","9","21","True","READY"
"SUI","Switzerland","True","26","26","0","26","True","READY"
"BRA","Brazil","True","26","21","5","5","True","READY"
"MAR","Morocco","True","26","24","2","2","True","READY"
"HAI","Haiti","True","26","25","1","1","True","READY"
"SCO","Scotland","True","26","25","1","1","True","READY"
"USA","United States","True","26","26","0","0","True","READY"
"PAR","Paraguay","True","26","24","2","2","True","READY"
"AUS","Australia","True","26","24","2","2","True","READY"
"TUR","Turkey","True","26","26","0","0","True","READY"
"GER","Germany","True","26","25","1","1","True","READY"
"CUW","Cura̤ao","True","26","26","0","0","True","READY"
"CIV","Ivory Coast","True","26","24","2","2","True","READY"
"ECU","Ecuador","True","26","26","0","0","True","READY"
"NED","Netherlands","True","26","26","0","0","True","READY"
"JPN","Japan","True","26","24","2","2","True","READY"
"SWE","Sweden","True","26","26","0","0","True","READY"
"TUN","Tunisia","True","26","21","5","5","True","READY"
"BEL","Belgium","True","26","26","0","0","True","READY"
"EGY","Egypt","True","26","17","9","9","True","READY"
"IRN","Iran","True","26","22","4","4","True","READY"
"NZL","New Zealand","True","26","26","0","0","True","READY"
"ESP","Spain","True","26","25","1","1","True","READY"
"CPV","Cape Verde","True","26","24","2","2","True","READY"
"KSA","Saudi Arabia","True","26","22","4","4","True","READY"
"URU","Uruguay","True","26","26","0","0","True","READY"
"FRA","France","True","26","26","0","0","True","READY"
"SEN","Senegal","True","26","25","1","1","True","READY"
"IRQ","Iraq","True","26","13","13","13","True","READY"
"NOR","Norway","True","26","21","5","5","True","READY"
"ARG","Argentina","True","26","25","1","1","True","READY"
"ALG","Algeria","True","26","24","2","2","True","READY"
"AUT","Austria","True","26","25","1","1","True","READY"
"JOR","Jordan","True","26","14","12","12","True","READY"
"POR","Portugal","True","26","24","2","2","True","READY"
"COD","DR Congo","True","26","25","1","1","True","READY"
"UZB","Uzbekistan","True","26","23","3","3","True","READY"
"COL","Colombia","True","26","24","2","2","True","READY"
"ENG","England","True","26","26","0","0","True","READY"
"CRO","Croatia","True","26","26","0","25","True","READY"
"GHA","Ghana","True","26","22","4","4","True","READY"
"PAN","Panama","True","26","26","0","0","True","READY"
